source,dialect,text,english_gloss,category,date_collected,dialect_guess
Local Markdown,egba,Bulu,Blue,Colors,2025-08-09T13:31:06.132515,
Local Markdown,egba,Ewe,Green,Colors,2025-08-09T13:31:06.132518,
Local Markdown,egba,Ofeefee,Yellow,Colors,2025-08-09T13:31:06.132522,
Local Markdown,egba,Alawọ,Brown,Colors,2025-08-09T13:31:06.132528,
Local Markdown,egba,Pink,Pink,Colors,2025-08-09T13:31:06.132531,
Local Markdown,egba,Grẹy,Grey,Colors,2025-08-09T13:31:06.132535,
Local Markdown,egba,Odo,Purple,Colors,2025-08-09T13:31:06.132538,
Local Markdown,egba,EniOkan,One,Numbers,2025-08-09T13:31:06.132542,
Local Markdown,egba,EjiMeji,Two,Numbers,2025-08-09T13:31:06.132546,
Local Markdown,egba,EtaMeta,Three,Numbers,2025-08-09T13:31:06.132550,
Local Markdown,egba,ErinMerin,Four,Numbers,2025-08-09T13:31:06.132553,
Local Markdown,egba,ArunMarun,Five,Numbers,2025-08-09T13:31:06.132557,
Local Markdown,egba,EfaMefa,Six,Numbers,2025-08-09T13:31:06.132561,
Local Markdown,egba,EjeMeje,Seven,Numbers,2025-08-09T13:31:06.132564,
Local Markdown,egba,EjoMejo,Eight,Numbers,2025-08-09T13:31:06.132570,
Local Markdown,egba,EsanMesan,Nine,Numbers,2025-08-09T13:31:06.132573,
Local Markdown,egba,EwaMewa,Ten,Numbers,2025-08-09T13:31:06.132576,
Local Markdown,egba,Ounje,Food,Food and Drinks,2025-08-09T13:31:06.132580,
Local Markdown,egba,Omi,Water,Food and Drinks,2025-08-09T13:31:06.132583,
Local Markdown,egba,Isu,Yam,Food and Drinks,2025-08-09T13:31:06.132586,
Local Markdown,egba,Iresi,Rice,Food and Drinks,2025-08-09T13:31:06.132590,
Local Markdown,egba,Ewa,Beans,Food and Drinks,2025-08-09T13:31:06.132593,
Local Markdown,egba,Dodo,Plantain,Food and Drinks,2025-08-09T13:31:06.132596,
Local Markdown,egba,Epo,Palm oil,Food and Drinks,2025-08-09T13:31:06.132599,
Local Markdown,egba,Eja,Fish,Food and Drinks,2025-08-09T13:31:06.132602,
Local Markdown,egba,Eran,Meat,Food and Drinks,2025-08-09T13:31:06.132606,
Local Markdown,egba,Agbon,Coconut,Food and Drinks,2025-08-09T13:31:06.132609,
Local Markdown,egba,Aja,Dog,Animals,2025-08-09T13:31:06.132614,
Local Markdown,egba,Ologbo,Cat,Animals,2025-08-09T13:31:06.132617,
Local Markdown,egba,Esin,Horse,Animals,2025-08-09T13:31:06.132621,
Local Markdown,egba,Malu,Cow,Animals,2025-08-09T13:31:06.132624,
Local Markdown,egba,Agutan,Sheep,Animals,2025-08-09T13:31:06.132627,
Local Markdown,egba,Ewure,Goat,Animals,2025-08-09T13:31:06.132630,
Local Markdown,egba,Adiye,Chicken,Animals,2025-08-09T13:31:06.132635,
Local Markdown,egba,Eku,Rat/mouse,Animals,2025-08-09T13:31:06.132639,
Local Markdown,egba,Ekun,Leopard,Animals,2025-08-09T13:31:06.132642,
Local Markdown,egba,Kiniun,Lion,Animals,2025-08-09T13:31:06.132645,
Local Markdown,egba,Orun,Sun/heaven,Nature and Weather,2025-08-09T13:31:06.132649,
Local Markdown,egba,Osupa,Moon,Nature and Weather,2025-08-09T13:31:06.132652,
Local Markdown,egba,Irawo,Star,Nature and Weather,2025-08-09T13:31:06.132656,
Local Markdown,egba,Ojo,Rain,Nature and Weather,2025-08-09T13:31:06.132659,
Local Markdown,egba,Afefe,Wind,Nature and Weather,2025-08-09T13:31:06.132662,
Local Markdown,egba,Ina,Fire,Nature and Weather,2025-08-09T13:31:06.132665,
Local Markdown,egba,Igi,Tree,Nature and Weather,2025-08-09T13:31:06.132668,
Local Markdown,egba,Ododo,Flower,Nature and Weather,2025-08-09T13:31:06.132672,
Local Markdown,egba,Igbó,Forest,Nature and Weather,2025-08-09T13:31:06.132676,
Local Markdown,egba,Okun,Sea/ocean,Nature and Weather,2025-08-09T13:31:06.132679,
Local Markdown,egba,Ojo,Day,Time and Days,2025-08-09T13:31:06.132683,
Local Markdown,egba,Oru,Night,Time and Days,2025-08-09T13:31:06.132686,
Local Markdown,egba,Owuro,Morning,Time and Days,2025-08-09T13:31:06.132689,
Local Markdown,egba,Osan,Afternoon,Time and Days,2025-08-09T13:31:06.132692,
Local Markdown,egba,Ale,Evening,Time and Days,2025-08-09T13:31:06.132696,
Local Markdown,egba,Ose,Week,Time and Days,2025-08-09T13:31:06.132699,
Local Markdown,egba,Osu,Month,Time and Days,2025-08-09T13:31:06.132704,
Local Markdown,egba,Odun,Year,Time and Days,2025-08-09T13:31:06.132707,
Local Markdown,egba,Aiye,Lifetime/world,Time and Days,2025-08-09T13:31:06.132710,
Local Markdown,egba,Akoko,Time,Time and Days,2025-08-09T13:31:06.132713,
Local Markdown,egba,Lo,Go,Actions/Verbs,2025-08-09T13:31:06.132717,
Local Markdown,egba,Wa,Come,Actions/Verbs,2025-08-09T13:31:06.132720,
Local Markdown,egba,Je,Eat,Actions/Verbs,2025-08-09T13:31:06.132723,
Local Markdown,egba,Mu,Drink,Actions/Verbs,2025-08-09T13:31:06.132727,
Local Markdown,egba,Sun,Sleep,Actions/Verbs,2025-08-09T13:31:06.132730,
Local Markdown,egba,Ji,Wake up,Actions/Verbs,2025-08-09T13:31:06.132733,
Local Markdown,egba,Dide,Stand up/get up,Actions/Verbs,2025-08-09T13:31:06.132738,
Local Markdown,egba,Joko,Sit down,Actions/Verbs,2025-08-09T13:31:06.132741,
Local Markdown,egba,Rin,Walk,Actions/Verbs,2025-08-09T13:31:06.132744,
Local Markdown,egba,Sare,Run,Actions/Verbs,2025-08-09T13:31:06.132748,
Local Markdown,egba,Ayo,Joy,Emotions and States,2025-08-09T13:31:06.132751,
Local Markdown,egba,Ibanuje,Sadness,Emotions and States,2025-08-09T13:31:06.132754,
Local Markdown,egba,Ibinu,Anger,Emotions and States,2025-08-09T13:31:06.132758,
Local Markdown,egba,Ife,Love,Emotions and States,2025-08-09T13:31:06.132761,
Local Markdown,egba,Korira,Hatred,Emotions and States,2025-08-09T13:31:06.132765,
Local Markdown,egba,Iju,Fear,Emotions and States,2025-08-09T13:31:06.132769,
Local Markdown,egba,Itiju,Shame,Emotions and States,2025-08-09T13:31:06.132774,
Local Markdown,egba,Igberaga,Pride,Emotions and States,2025-08-09T13:31:06.132778,
Local Markdown,egba,Irele,Humility,Emotions and States,2025-08-09T13:31:06.132781,
Local Markdown,egba,Idunnu,Happiness,Emotions and States,2025-08-09T13:31:06.132784,
Local Markdown,egba,Ile,House/home,House and Home,2025-08-09T13:31:06.132788,
Local Markdown,egba,Yara,Room,House and Home,2025-08-09T13:31:06.132791,
Local Markdown,egba,Oju-ode,Outside,House and Home,2025-08-09T13:31:06.132794,
Local Markdown,egba,Ilepa,Wall,House and Home,2025-08-09T13:31:06.132797,
Local Markdown,egba,Ilekun,Door,House and Home,2025-08-09T13:31:06.132800,
Local Markdown,egba,Ferese,Window,House and Home,2025-08-09T13:31:06.132804,
Local Markdown,egba,Orule,Floor,House and Home,2025-08-09T13:31:06.132807,
Local Markdown,egba,Oke,Roof,House and Home,2025-08-09T13:31:06.132810,
Local Markdown,egba,Ibudó,Dwelling place,House and Home,2025-08-09T13:31:06.132813,
Local Markdown,egba,Agbala,Courtyard,House and Home,2025-08-09T13:31:06.132817,
Local Markdown,egba,Aso,Cloth/clothing,Clothing and Accessories,2025-08-09T13:31:06.132820,
Local Markdown,egba,Bante,Shirt,Clothing and Accessories,2025-08-09T13:31:06.132823,
Local Markdown,egba,Sokoto,Trousers,Clothing and Accessories,2025-08-09T13:31:06.132827,
Local Markdown,egba,Buba,Blouse,Clothing and Accessories,2025-08-09T13:31:06.132839,
Local Markdown,egba,Gele,Head tie,Clothing and Accessories,2025-08-09T13:31:06.132844,
Local Markdown,egba,Fila,Cap,Clothing and Accessories,2025-08-09T13:31:06.132850,
Local Markdown,egba,Bata,Shoes,Clothing and Accessories,2025-08-09T13:31:06.132853,
Local Markdown,egba,Ileke,Beads,Clothing and Accessories,2025-08-09T13:31:06.132856,
Local Markdown,egba,Ẹgba,Bracelet,Clothing and Accessories,2025-08-09T13:31:06.132860,
Local Markdown,egba,Yebeyebe,Earrings,Clothing and Accessories,2025-08-09T13:31:06.132864,
Local Markdown,egba,Eko,Learning/education,Education and Learning,2025-08-09T13:31:06.132867,
Local Markdown,egba,Ile-iwe,School,Education and Learning,2025-08-09T13:31:06.132871,
Local Markdown,egba,Oluko,Teacher,Education and Learning,2025-08-09T13:31:06.132874,
Local Markdown,egba,Akeko,Student,Education and Learning,2025-08-09T13:31:06.132877,
Local Markdown,egba,Iwe,Book,Education and Learning,2025-08-09T13:31:06.132880,
Local Markdown,egba,Kika,Reading,Education and Learning,2025-08-09T13:31:06.132883,
Local Markdown,egba,Kikọ,Writing,Education and Learning,2025-08-09T13:31:06.132887,
Local Markdown,egba,Imo,Knowledge,Education and Learning,2025-08-09T13:31:06.132890,
Local Markdown,egba,Oye,Understanding,Education and Learning,2025-08-09T13:31:06.132893,
Local Markdown,egba,Ogbon,Wisdom,Education and Learning,2025-08-09T13:31:06.132896,
Local Markdown,egba,Ise,Work,Work and Occupations,2025-08-09T13:31:06.132900,
Local Markdown,egba,Agbe,Farmer,Work and Occupations,2025-08-09T13:31:06.132903,
Local Markdown,egba,Onisona,Trader,Work and Occupations,2025-08-09T13:31:06.132906,
Local Markdown,egba,Dokita,Doctor,Work and Occupations,2025-08-09T13:31:06.132912,
Local Markdown,egba,Oluko,Teacher,Work and Occupations,2025-08-09T13:31:06.132917,
Local Markdown,egba,Awakọ,Driver,Work and Occupations,2025-08-09T13:31:06.132921,
Local Markdown,egba,Ologun,Soldier,Work and Occupations,2025-08-09T13:31:06.132924,
Local Markdown,egba,Alagbede,Blacksmith,Work and Occupations,2025-08-09T13:31:06.132927,
Local Markdown,egba,Asiko,Tailor,Work and Occupations,2025-08-09T13:31:06.132930,
Local Markdown,egba,Agbero,Bus conductor,Work and Occupations,2025-08-09T13:31:06.132934,
Local Markdown,egba,Olodumare,Almighty God,Religious and Spiritual Terms,2025-08-09T13:31:06.132938,
Local Markdown,egba,Orisa,Deity,Religious and Spiritual Terms,2025-08-09T13:31:06.132941,
Local Markdown,egba,Adura,Prayer,Religious and Spiritual Terms,2025-08-09T13:31:06.132944,
Local Markdown,egba,Isin,Worship,Religious and Spiritual Terms,2025-08-09T13:31:06.132947,
Local Markdown,egba,Emi-mimo,Holy Spirit,Religious and Spiritual Terms,2025-08-09T13:31:06.132950,
Local Markdown,egba,Orun,Heaven,Religious and Spiritual Terms,2025-08-09T13:31:06.132953,
Local Markdown,egba,Apaadi,Hell,Religious and Spiritual Terms,2025-08-09T13:31:06.132956,
Local Markdown,egba,Iwadii,Salvation,Religious and Spiritual Terms,2025-08-09T13:31:06.132960,
Local Markdown,egba,Ese,Sin,Religious and Spiritual Terms,2025-08-09T13:31:06.132963,
Local Markdown,egba,Dariji,Forgiveness,Religious and Spiritual Terms,2025-08-09T13:31:06.132966,
Local Markdown,egba,Ọbẹ,Knife,Tools and Objects,2025-08-09T13:31:06.132969,
Local Markdown,egba,Ado,Cutlass,Tools and Objects,2025-08-09T13:31:06.132973,
Local Markdown,egba,Apa,Hoe,Tools and Objects,2025-08-09T13:31:06.132976,
Local Markdown,egba,Irin,Iron,Tools and Objects,2025-08-09T13:31:06.132979,
Local Markdown,egba,Igi,Wood/stick,Tools and Objects,2025-08-09T13:31:06.132986,
Local Markdown,egba,Okuta,Stone,Tools and Objects,2025-08-09T13:31:06.132990,
Local Markdown,egba,Eru,Load/burden,Tools and Objects,2025-08-09T13:31:06.132993,
Local Markdown,egba,Ago,Clock/time,Tools and Objects,2025-08-09T13:31:06.132996,
Local Markdown,egba,Kọmputa,Computer,Tools and Objects,2025-08-09T13:31:06.133000,
Local Markdown,egba,Foonu,Phone,Tools and Objects,2025-08-09T13:31:06.133003,
Local Markdown,egba,Ọkọ,Vehicle,Transportation,2025-08-09T13:31:06.133006,
Local Markdown,egba,Keke,Bicycle,Transportation,2025-08-09T13:31:06.133010,
Local Markdown,egba,Ọkọ-oju-irin,Train,Transportation,2025-08-09T13:31:06.133013,
Local Markdown,egba,Ọkọ-ofurufu,Airplane,Transportation,2025-08-09T13:31:06.133016,
Local Markdown,egba,Ọkọ-oju-omi,Ship/boat,Transportation,2025-08-09T13:31:06.133020,
Local Markdown,egba,Mọto,Motor/car,Transportation,2025-08-09T13:31:06.133023,
Local Markdown,egba,Awakọ,Driver,Transportation,2025-08-09T13:31:06.133027,
Local Markdown,egba,Ona,Road/way,Transportation,2025-08-09T13:31:06.133030,
Local Markdown,egba,Ibudo,Bus stop,Transportation,2025-08-09T13:31:06.133033,
Local Markdown,egba,Ajo,Journey,Transportation,2025-08-09T13:31:06.133036,
Local Markdown,egba,Owo,Money,Money and Commerce,2025-08-09T13:31:06.133039,
Local Markdown,egba,Ra,Buy,Money and Commerce,2025-08-09T13:31:06.133042,
Local Markdown,egba,Ta,Sell,Money and Commerce,2025-08-09T13:31:06.133046,
Local Markdown,egba,Oja,Market,Money and Commerce,2025-08-09T13:31:06.133051,
Local Markdown,egba,Onisowo,Trader,Money and Commerce,2025-08-09T13:31:06.133062,
Local Markdown,egba,Idiye,Price,Money and Commerce,2025-08-09T13:31:06.133065,
Local Markdown,egba,Owó-idunnu,Change (money),Money and Commerce,2025-08-09T13:31:06.133069,
Local Markdown,egba,Gbese,Debt,Money and Commerce,2025-08-09T13:31:06.133072,
Local Markdown,egba,Sanwo,Payment,Money and Commerce,2025-08-09T13:31:06.133077,
Local Markdown,egba,Ere,Profit,Money and Commerce,2025-08-09T13:31:06.133080,
Local Markdown,egba,Orin,Song,Music and Entertainment,2025-08-09T13:31:06.133092,
Local Markdown,egba,Ijo,Dance,Music and Entertainment,2025-08-09T13:31:06.133096,
Local Markdown,egba,Dundun,Talking drum,Music and Entertainment,2025-08-09T13:31:06.133100,
Local Markdown,egba,Gangan,Type of drum,Music and Entertainment,2025-08-09T13:31:06.133103,
Local Markdown,egba,Sekere,Shaker,Music and Entertainment,2025-08-09T13:31:06.133106,
Local Markdown,egba,Fere,Flute,Music and Entertainment,2025-08-09T13:31:06.133109,
Local Markdown,egba,Ohun-elo-orin,Musical instrument,Music and Entertainment,2025-08-09T13:31:06.133113,
Local Markdown,egba,Ariwo,Noise/sound,Music and Entertainment,2025-08-09T13:31:06.133116,
Local Markdown,egba,Ere,Play/game,Music and Entertainment,2025-08-09T13:31:06.133119,
Local Markdown,egba,Ayokẹlẹ,Entertainment,Music and Entertainment,2025-08-09T13:31:06.133123,
Local Markdown,egba,Ilera,Health,Health and Medicine,2025-08-09T13:31:06.133127,
Local Markdown,egba,Aisan,Sickness,Health and Medicine,2025-08-09T13:31:06.133130,
Local Markdown,egba,Egbo,Medicine,Health and Medicine,2025-08-09T13:31:06.133133,
Local Markdown,egba,Ile-iwosan,Hospital,Health and Medicine,2025-08-09T13:31:06.133139,
Local Markdown,egba,Dokita,Doctor,Health and Medicine,2025-08-09T13:31:06.133142,
Local Markdown,egba,Nọọsi,Nurse,Health and Medicine,2025-08-09T13:31:06.133146,
Local Markdown,egba,Egboogi,Herb,Health and Medicine,2025-08-09T13:31:06.133149,
Local Markdown,egba,Abela,Injection,Health and Medicine,2025-08-09T13:31:06.133152,
Local Markdown,egba,Iwọsan,Treatment,Health and Medicine,2025-08-09T13:31:06.133155,
Local Markdown,egba,Ku,Death,Health and Medicine,2025-08-09T13:31:06.133158,
Local Markdown,egba,Tobi,Big/large,Adjectives and Descriptions,2025-08-09T13:31:06.133162,
Local Markdown,egba,Kere,Small,Adjectives and Descriptions,2025-08-09T13:31:06.133165,
Local Markdown,egba,Gun,Long/tall,Adjectives and Descriptions,2025-08-09T13:31:06.133168,
Local Markdown,egba,Kukuru,Short,Adjectives and Descriptions,2025-08-09T13:31:06.133172,
Local Markdown,egba,Sanra,Fat,Adjectives and Descriptions,2025-08-09T13:31:06.133175,
Local Markdown,egba,Ru,Thin,Adjectives and Descriptions,2025-08-09T13:31:06.133178,
Local Markdown,egba,Rẹwa,Beautiful,Adjectives and Descriptions,2025-08-09T13:31:06.133181,
Local Markdown,egba,Buru,Ugly,Adjectives and Descriptions,2025-08-09T13:31:06.133184,
Local Markdown,egba,Dara,Good,Adjectives and Descriptions,2025-08-09T13:31:06.133187,
Local Markdown,egba,Buru,Bad,Adjectives and Descriptions,2025-08-09T13:31:06.133191,
Local Markdown,egba,Gege,Like/as,More Common Words,2025-08-09T13:31:06.133194,
Local Markdown,egba,Ati,And,More Common Words,2025-08-09T13:31:06.133197,
Local Markdown,egba,Tabi,Or,More Common Words,2025-08-09T13:31:06.133201,
Local Markdown,egba,Sugbon,But,More Common Words,2025-08-09T13:31:06.133205,
Local Markdown,egba,Nitori,Because,More Common Words,2025-08-09T13:31:06.133208,
Local Markdown,egba,Bi,If,More Common Words,2025-08-09T13:31:06.133213,
Local Markdown,egba,Laipe,Soon,More Common Words,2025-08-09T13:31:06.133216,
Local Markdown,egba,Tẹlẹ,Before,More Common Words,2025-08-09T13:31:06.133220,
Local Markdown,egba,Leyin,After,More Common Words,2025-08-09T13:31:06.133223,
Local Markdown,egba,Lati,From,More Common Words,2025-08-09T13:31:06.133227,
Local Markdown,egba,Pupọ,Many/much,Quantities and Measurements,2025-08-09T13:31:06.133231,
Local Markdown,egba,Diẹ,Few/little,Quantities and Measurements,2025-08-09T13:31:06.133241,
Local Markdown,egba,Gbogbo,All,Quantities and Measurements,2025-08-09T13:31:06.133250,
Local Markdown,egba,Kan,Some,Quantities and Measurements,2025-08-09T13:31:06.133254,
Local Markdown,egba,Mẹta,Three (people),Quantities and Measurements,2025-08-09T13:31:06.133257,
Local Markdown,egba,Idaji,Half,Quantities and Measurements,2025-08-09T13:31:06.133260,
Local Markdown,egba,Odindi,Whole,Quantities and Measurements,2025-08-09T13:31:06.133263,
Local Markdown,egba,Apakan,Part,Quantities and Measurements,2025-08-09T13:31:06.133267,
Local Markdown,egba,Iwọn,Measurement,Quantities and Measurements,2025-08-09T13:31:06.133270,
Local Markdown,egba,Iye,Amount,Quantities and Measurements,2025-08-09T13:31:06.133273,
Local Markdown,egba,Apa,Side/direction,Directions and Locations,2025-08-09T13:31:06.133277,
Local Markdown,egba,Ariwa,North,Directions and Locations,2025-08-09T13:31:06.133280,
Local Markdown,egba,Guusu,South,Directions and Locations,2025-08-09T13:31:06.133284,
Local Markdown,egba,Ila-oorun,East,Directions and Locations,2025-08-09T13:31:06.133288,
Local Markdown,egba,Iwọ-oorun,West,Directions and Locations,2025-08-09T13:31:06.133291,
Local Markdown,egba,Oke,Up/hill,Directions and Locations,2025-08-09T13:31:06.133294,
Local Markdown,egba,Isalẹ,Down,Directions and Locations,2025-08-09T13:31:06.133297,
Local Markdown,egba,Iwaju,Front,Directions and Locations,2025-08-09T13:31:06.133301,
Local Markdown,egba,Ẹhin,Back/behind,Directions and Locations,2025-08-09T13:31:06.133304,
Local Markdown,egba,Arin,Middle/center,Directions and Locations,2025-08-09T13:31:06.133307,
Local Markdown,egba,Kọ,Build/learn,Actions and Activities,2025-08-09T13:31:06.133311,
Local Markdown,egba,Tu,Release/break,Actions and Activities,2025-08-09T13:31:06.133314,
Local Markdown,egba,Fa,Pull/draw,Actions and Activities,2025-08-09T13:31:06.133317,
Local Markdown,egba,Ti,Push,Actions and Activities,2025-08-09T13:31:06.133320,
Local Markdown,egba,Gbe,Carry/lift,Actions and Activities,2025-08-09T13:31:06.133324,
Local Markdown,egba,Fi,Use/place,Actions and Activities,2025-08-09T13:31:06.133327,
Local Markdown,egba,Mu,Hold/drink,Actions and Activities,2025-08-09T13:31:06.133330,
Local Markdown,egba,Sọ,Say/speak,Actions and Activities,2025-08-09T13:31:06.133333,
Local Markdown,egba,Gbọ,Hear/listen,Actions and Activities,2025-08-09T13:31:06.133336,
Local Markdown,egba,Wo,Look/wear,Actions and Activities,2025-08-09T13:31:06.133340,
Local Markdown,egba,Se,Cook,Cooking and Kitchen,2025-08-09T13:31:06.133343,
Local Markdown,egba,Dun,Sweet/tasty,Cooking and Kitchen,2025-08-09T13:31:06.133348,
Local Markdown,egba,Koro,Bitter,Cooking and Kitchen,2025-08-09T13:31:06.133351,
Local Markdown,egba,Iyọ,Salt,Cooking and Kitchen,2025-08-09T13:31:06.133354,
Local Markdown,egba,Isu,Pepper,Cooking and Kitchen,2025-08-09T13:31:06.133358,
Local Markdown,egba,Yanrin-yanrin,Spicy,Cooking and Kitchen,2025-08-09T13:31:06.133368,
Local Markdown,egba,Tutu,Cold,Cooking and Kitchen,2025-08-09T13:31:06.133374,
Local Markdown,egba,Gbona,Hot,Cooking and Kitchen,2025-08-09T13:31:06.133390,
Local Markdown,egba,Ogo,Pot,Cooking and Kitchen,2025-08-09T13:31:06.133395,
Local Markdown,egba,Obe,Soup/stew,Cooking and Kitchen,2025-08-09T13:31:06.133399,
Local Markdown,egba,Ajo,Meeting,Social Activities,2025-08-09T13:31:06.133402,
Local Markdown,egba,Igbeyawo,Wedding,Social Activities,2025-08-09T13:31:06.133406,
Local Markdown,egba,Isinku,Funeral,Social Activities,2025-08-09T13:31:06.133409,
Local Markdown,egba,Ayẹyẹ,Celebration,Social Activities,2025-08-09T13:31:06.133412,
Local Markdown,egba,Iranṣẹ,Helper/servant,Social Activities,2025-08-09T13:31:06.133418,
Local Markdown,egba,Alejo,Visitor/guest,Social Activities,2025-08-09T13:31:06.133421,
Local Markdown,egba,Ogun,War,Social Activities,2025-08-09T13:31:06.133424,
Local Markdown,egba,Alafia,Peace,Social Activities,2025-08-09T13:31:06.133427,
Local Markdown,egba,Ija,Fight,Social Activities,2025-08-09T13:31:06.133430,
Local Markdown,egba,Isokan,Unity,Social Activities,2025-08-09T13:31:06.133433,
Local Markdown,egba,Isẹ-ọwọ,Handicraft,Professional Terms,2025-08-09T13:31:06.133437,
Local Markdown,egba,Agbẹ,Farmer,Professional Terms,2025-08-09T13:31:06.133443,
Local Markdown,egba,Oniṣọna,Artist,Professional Terms,2025-08-09T13:31:06.133446,
Local Markdown,egba,Akọwe,Writer/scribe,Professional Terms,2025-08-09T13:31:06.133454,
Local Markdown,egba,Onimọ,Expert,Professional Terms,2025-08-09T13:31:06.133467,
Local Markdown,egba,Asayẹ,Judge,Professional Terms,2025-08-09T13:31:06.133479,
Local Markdown,egba,Aṣofin,Lawyer,Professional Terms,2025-08-09T13:31:06.133491,
Local Markdown,egba,Oniwadi,Researcher,Professional Terms,2025-08-09T13:31:06.133497,
Local Markdown,egba,Oluṣeto,Manager,Professional Terms,2025-08-09T13:31:06.133500,
Local Markdown,egba,Adaṣe,Leader,Professional Terms,2025-08-09T13:31:06.133503,
Local Markdown,egba,Otitọ,Truth,Abstract Concepts,2025-08-09T13:31:06.133507,
Local Markdown,egba,Eke,Lie/falsehood,Abstract Concepts,2025-08-09T13:31:06.133510,
Local Markdown,egba,Iye,Honor,Abstract Concepts,2025-08-09T13:31:06.133513,
Local Markdown,egba,Itiju,Shame/disgrace,Abstract Concepts,2025-08-09T13:31:06.133519,
Local Markdown,egba,Asiri,Secret,Abstract Concepts,2025-08-09T13:31:06.133522,
Local Markdown,egba,Imo,Knowledge,Abstract Concepts,2025-08-09T13:31:06.133525,
Local Markdown,egba,Igbekele,Trust,Abstract Concepts,2025-08-09T13:31:06.133528,
Local Markdown,egba,Ifọkanbale,Confidence,Abstract Concepts,2025-08-09T13:31:06.133531,
Local Markdown,egba,Ani,Promise,Abstract Concepts,2025-08-09T13:31:06.133534,
Local Markdown,egba,Eri,Evidence,Abstract Concepts,2025-08-09T13:31:06.133537,
Local Markdown,egba,Oru,Dew,Weather and Climate,2025-08-09T13:31:06.133543,
Local Markdown,egba,Yinyin,Cold,Weather and Climate,2025-08-09T13:31:06.133546,
Local Markdown,egba,Ooru,Heat,Weather and Climate,2025-08-09T13:31:06.133549,
Local Markdown,egba,Iji,Storm,Weather and Climate,2025-08-09T13:31:06.133574,
Local Markdown,egba,Ara,Thunder,Weather and Climate,2025-08-09T13:31:06.133579,
Local Markdown,egba,Mọnamọna,Lightning,Weather and Climate,2025-08-09T13:31:06.133583,
Local Markdown,egba,Kurukuru,Fog,Weather and Climate,2025-08-09T13:31:06.133586,
Local Markdown,egba,Ewu,Drought,Weather and Climate,2025-08-09T13:31:06.133589,
Local Markdown,egba,Omi-ojo,Flood,Weather and Climate,2025-08-09T13:31:06.133592,
Local Markdown,egba,Igba-otutu,Dry season,Weather and Climate,2025-08-09T13:31:06.133596,
Local Markdown,egba,Oko,Farm,Agriculture and Farming,2025-08-09T13:31:06.133601,
